tipo,activo,from,open,close,max,min,volume
turbo,LABUBUUSD-OTC,1788311100,0.479415,0.480285,0.480345,0.479165,0
turbo,LABUBUUSD-OTC,1788311160,0.480275,0.480495,0.480495,0.479785,0
turbo,LABUBUUSD-OTC,1788311220,0.480475,0.481555,0.481565,0.480455,0
turbo,LABUBUUSD-OTC,1788311280,0.481545,0.481525,0.481945,0.481395,0
turbo,LABUBUUSD-OTC,1788311340,0.481495,0.481015,0.481525,0.480855,0
turbo,LABUBUUSD-OTC,1788311400,0.481025,0.480435,0.481025,0.480405,0
turbo,LABUBUUSD-OTC,1788311460,0.480455,0.479955,0.480535,0.479775,0
turbo,LABUBUUSD-OTC,1788311520,0.479995,0.479915,0.480165,0.479495,0
turbo,LABUBUUSD-OTC,1788311580,0.479935,0.480995,0.481125,0.479935,0
turbo,LABUBUUSD-OTC,1788311640,0.481035,0.480805,0.481135,0.480745,0
turbo,LABUBUUSD-OTC,1788311700,0.480795,0.481405,0.481575,0.480785,0
turbo,LABUBUUSD-OTC,1788311760,0.481445,0.481545,0.481585,0.481245,0
turbo,LABUBUUSD-OTC,1788311820,0.481485,0.480715,0.481505,0.480475,0
turbo,LABUBUUSD-OTC,1788311880,0.480725,0.480025,0.480725,0.479995,0
turbo,LABUBUUSD-OTC,1788311940,0.480105,0.480765,0.480845,0.479865,0
turbo,LABUBUUSD-OTC,1788312000,0.480755,0.480915,0.481155,0.480715,0
turbo,LABUBUUSD-OTC,1788312060,0.480875,0.480645,0.481195,0.480545,0
turbo,LABUBUUSD-OTC,1788312120,0.480665,0.480585,0.480905,0.480445,0
turbo,LABUBUUSD-OTC,1788312180,0.480535,0.480625,0.480885,0.480275,0
turbo,LABUBUUSD-OTC,1788312240,0.480635,0.480745,0.481365,0.480625,0
turbo,LABUBUUSD-OTC,1788312300,0.480785,0.481755,0.481795,0.480615,0
turbo,LABUBUUSD-OTC,1788312360,0.481725,0.481845,0.482375,0.481715,0
turbo,LABUBUUSD-OTC,1788312420,0.481815,0.481845,0.482245,0.481435,0
turbo,LABUBUUSD-OTC,1788312480,0.481865,0.481365,0.482045,0.481325,0
turbo,LABUBUUSD-OTC,1788312540,0.481375,0.481815,0.482235,0.481305,0
turbo,LABUBUUSD-OTC,1788312600,0.481805,0.482345,0.482345,0.481805,0
turbo,LABUBUUSD-OTC,1788312660,0.482305,0.481865,0.482585,0.481765,0
turbo,LABUBUUSD-OTC,1788312720,0.481845,0.482585,0.482685,0.481845,0
turbo,LABUBUUSD-OTC,1788312780,0.482575,0.481845,0.482685,0.481775,0
turbo,LABUBUUSD-OTC,1788312840,0.481815,0.481565,0.482045,0.481565,0
turbo,LABUBUUSD-OTC,1788312900,0.481585,0.481305,0.481775,0.481175,0
turbo,LABUBUUSD-OTC,1788312960,0.481355,0.481425,0.481775,0.481195,0
turbo,LABUBUUSD-OTC,1788313020,0.481455,0.481475,0.481875,0.481135,0
turbo,LABUBUUSD-OTC,1788313080,0.481485,0.482105,0.482145,0.481445,0
turbo,LABUBUUSD-OTC,1788313140,0.482085,0.482445,0.482575,0.481965,0
turbo,LABUBUUSD-OTC,1788313200,0.482395,0.482805,0.482815,0.482345,0
turbo,LABUBUUSD-OTC,1788313260,0.482765,0.481835,0.482765,0.481645,0
turbo,LABUBUUSD-OTC,1788313320,0.481825,0.481955,0.482135,0.481495,0
turbo,LABUBUUSD-OTC,1788313380,0.481955,0.481765,0.482175,0.481465,0
turbo,LABUBUUSD-OTC,1788313440,0.481745,0.481615,0.481995,0.481355,0
turbo,LABUBUUSD-OTC,1788313500,0.481605,0.481165,0.481995,0.480965,0
turbo,LABUBUUSD-OTC,1788313560,0.481195,0.481695,0.481725,0.481075,0
turbo,LABUBUUSD-OTC,1788313620,0.481665,0.482075,0.482135,0.481595,0
turbo,LABUBUUSD-OTC,1788313680,0.482055,0.482465,0.482505,0.482035,0
turbo,LABUBUUSD-OTC,1788313740,0.482475,0.482545,0.482595,0.482265,0
turbo,LABUBUUSD-OTC,1788313800,0.482555,0.482875,0.483005,0.482455,0
turbo,LABUBUUSD-OTC,1788313860,0.482895,0.483635,0.483765,0.482855,0
turbo,LABUBUUSD-OTC,1788313920,0.483555,0.483695,0.483805,0.483405,0
turbo,LABUBUUSD-OTC,1788313980,0.483685,0.483385,0.483685,0.483185,0
turbo,LABUBUUSD-OTC,1788314040,0.483375,0.483685,0.483705,0.483185,0
turbo,LABUBUUSD-OTC,1788314100,0.483655,0.483535,0.483915,0.483455,0
turbo,LABUBUUSD-OTC,1788314160,0.483505,0.483495,0.484015,0.483455,0
turbo,LABUBUUSD-OTC,1788314220,0.483465,0.483235,0.483815,0.483085,0
turbo,LABUBUUSD-OTC,1788314280,0.483255,0.483745,0.483745,0.483035,0
turbo,LABUBUUSD-OTC,1788314340,0.483775,0.483525,0.484015,0.483345,0
turbo,LABUBUUSD-OTC,1788314400,0.483565,0.483105,0.483595,0.482955,0
turbo,LABUBUUSD-OTC,1788314460,0.483145,0.483315,0.483425,0.482995,0
turbo,LABUBUUSD-OTC,1788314520,0.483265,0.483305,0.483465,0.483075,0
turbo,LABUBUUSD-OTC,1788314580,0.483325,0.484195,0.484225,0.483255,0
turbo,LABUBUUSD-OTC,1788314640,0.484225,0.484325,0.484345,0.483905,0
turbo,LABUBUUSD-OTC,1788314700,0.484345,0.484195,0.484605,0.484015,0
turbo,LABUBUUSD-OTC,1788314760,0.484205,0.483895,0.484635,0.483865,0
turbo,LABUBUUSD-OTC,1788314820,0.483915,0.483735,0.484255,0.483645,0
turbo,LABUBUUSD-OTC,1788314880,0.483745,0.483465,0.483745,0.482975,0
turbo,LABUBUUSD-OTC,1788314940,0.483485,0.483965,0.483965,0.483235,0
turbo,LABUBUUSD-OTC,1788315000,0.484015,0.484425,0.484495,0.483935,0
turbo,LABUBUUSD-OTC,1788315060,0.484445,0.484395,0.484655,0.484295,0
turbo,LABUBUUSD-OTC,1788315120,0.484315,0.483905,0.484425,0.483855,0
turbo,LABUBUUSD-OTC,1788315180,0.483915,0.484215,0.484275,0.483865,0
turbo,LABUBUUSD-OTC,1788315240,0.484175,0.483925,0.484295,0.483775,0
turbo,LABUBUUSD-OTC,1788315300,0.483895,0.483535,0.484075,0.483515,0
turbo,LABUBUUSD-OTC,1788315360,0.483555,0.483995,0.483995,0.483495,0
turbo,LABUBUUSD-OTC,1788315420,0.483955,0.483705,0.484005,0.483605,0
turbo,LABUBUUSD-OTC,1788315480,0.483695,0.483965,0.484145,0.483595,0
turbo,LABUBUUSD-OTC,1788315540,0.484045,0.483315,0.484085,0.483285,0
turbo,LABUBUUSD-OTC,1788315600,0.483335,0.481315,0.483385,0.481265,0
turbo,LABUBUUSD-OTC,1788315660,0.481335,0.481165,0.481785,0.481115,0
turbo,LABUBUUSD-OTC,1788315720,0.481155,0.481405,0.481495,0.480875,0
turbo,LABUBUUSD-OTC,1788315780,0.481385,0.482005,0.482035,0.481255,0
turbo,LABUBUUSD-OTC,1788315840,0.482015,0.481785,0.482045,0.481625,0
turbo,LABUBUUSD-OTC,1788315900,0.481795,0.482395,0.482455,0.481755,0
turbo,LABUBUUSD-OTC,1788315960,0.482385,0.483055,0.483305,0.482185,0
turbo,LABUBUUSD-OTC,1788316020,0.483075,0.483465,0.483575,0.483065,0
turbo,LABUBUUSD-OTC,1788316080,0.483495,0.483675,0.483845,0.483275,0
turbo,LABUBUUSD-OTC,1788316140,0.483685,0.483625,0.484175,0.483405,0
turbo,LABUBUUSD-OTC,1788316200,0.483645,0.483695,0.483985,0.483615,0
turbo,LABUBUUSD-OTC,1788316260,0.483705,0.483645,0.483805,0.483315,0
turbo,LABUBUUSD-OTC,1788316320,0.483655,0.483635,0.484125,0.483555,0
turbo,LABUBUUSD-OTC,1788316380,0.483615,0.483795,0.484145,0.483555,0
turbo,LABUBUUSD-OTC,1788316440,0.483815,0.483955,0.484115,0.483805,0
turbo,LABUBUUSD-OTC,1788316500,0.483945,0.483995,0.484325,0.483775,0
turbo,LABUBUUSD-OTC,1788316560,0.483985,0.484145,0.484415,0.483775,0
turbo,LABUBUUSD-OTC,1788316620,0.484185,0.484395,0.484395,0.483885,0
turbo,LABUBUUSD-OTC,1788316680,0.484385,0.484395,0.484775,0.484335,0
turbo,LABUBUUSD-OTC,1788316740,0.484355,0.484715,0.484715,0.484075,0
turbo,LABUBUUSD-OTC,1788316800,0.484755,0.484735,0.485125,0.484505,0
turbo,LABUBUUSD-OTC,1788316860,0.484755,0.484775,0.484805,0.484445,0
turbo,LABUBUUSD-OTC,1788316920,0.484795,0.485515,0.485595,0.484615,0
turbo,LABUBUUSD-OTC,1788316980,0.485445,0.485535,0.485635,0.485245,0
turbo,LABUBUUSD-OTC,1788317040,0.485555,0.485625,0.486185,0.485415,0
turbo,LABUBUUSD-OTC,1788317100,0.485655,0.485825,0.486215,0.485445,0
turbo,LABUBUUSD-OTC,1788317160,0.485785,0.485835,0.486115,0.485625,0
turbo,LABUBUUSD-OTC,1788317220,0.485845,0.485525,0.485965,0.485465,0
turbo,LABUBUUSD-OTC,1788317280,0.485495,0.485925,0.486065,0.485435,0
turbo,LABUBUUSD-OTC,1788317340,0.485915,0.485985,0.486205,0.485745,0
turbo,LABUBUUSD-OTC,1788317400,0.485935,0.485465,0.485975,0.485315,0
turbo,LABUBUUSD-OTC,1788317460,0.485475,0.486325,0.486505,0.485235,0
turbo,LABUBUUSD-OTC,1788317520,0.486375,0.486265,0.486455,0.486105,0
turbo,LABUBUUSD-OTC,1788317580,0.486245,0.486415,0.486715,0.486155,0
turbo,LABUBUUSD-OTC,1788317640,0.486455,0.486815,0.487105,0.486455,0
turbo,LABUBUUSD-OTC,1788317700,0.486855,0.485865,0.486905,0.485755,0
turbo,LABUBUUSD-OTC,1788317760,0.485825,0.486535,0.486605,0.485735,0
turbo,LABUBUUSD-OTC,1788317820,0.486555,0.485935,0.486725,0.485915,0
turbo,LABUBUUSD-OTC,1788317880,0.485925,0.486035,0.486145,0.485725,0
turbo,LABUBUUSD-OTC,1788317940,0.486005,0.486335,0.486615,0.485945,0
turbo,LABUBUUSD-OTC,1788318000,0.486355,0.486465,0.486735,0.486195,0
turbo,LABUBUUSD-OTC,1788318060,0.486455,0.486545,0.487045,0.486435,0
turbo,LABUBUUSD-OTC,1788318120,0.486535,0.485865,0.486645,0.485685,0
turbo,LABUBUUSD-OTC,1788318180,0.485755,0.485765,0.486145,0.485745,0
turbo,LABUBUUSD-OTC,1788318240,0.485745,0.486035,0.486055,0.485475,0
turbo,LABUBUUSD-OTC,1788318300,0.486015,0.485685,0.486145,0.485575,0
turbo,LABUBUUSD-OTC,1788318360,0.485675,0.485705,0.485775,0.485425,0
turbo,LABUBUUSD-OTC,1788318420,0.485685,0.486645,0.486835,0.485665,0
turbo,LABUBUUSD-OTC,1788318480,0.486635,0.486995,0.487105,0.486455,0
turbo,LABUBUUSD-OTC,1788318540,0.486995,0.486575,0.487135,0.486375,0
turbo,LABUBUUSD-OTC,1788318600,0.486615,0.486585,0.487045,0.486395,0
turbo,LABUBUUSD-OTC,1788318660,0.486545,0.486815,0.486845,0.485815,0
turbo,LABUBUUSD-OTC,1788318720,0.486795,0.487065,0.487095,0.486355,0
turbo,LABUBUUSD-OTC,1788318780,0.487085,0.486385,0.487485,0.486165,0
turbo,LABUBUUSD-OTC,1788318840,0.486375,0.486765,0.486795,0.486265,0
turbo,LABUBUUSD-OTC,1788318900,0.486755,0.486275,0.486915,0.486275,0
turbo,LABUBUUSD-OTC,1788318960,0.486225,0.485975,0.486535,0.485795,0
turbo,LABUBUUSD-OTC,1788319020,0.486035,0.485495,0.486115,0.485345,0
turbo,LABUBUUSD-OTC,1788319080,0.485505,0.485475,0.485785,0.485345,0
turbo,LABUBUUSD-OTC,1788319140,0.485495,0.485075,0.485495,0.484885,0
turbo,LABUBUUSD-OTC,1788319200,0.485015,0.485025,0.485285,0.484945,0
turbo,LABUBUUSD-OTC,1788319260,0.484975,0.484125,0.485005,0.484105,0
turbo,LABUBUUSD-OTC,1788319320,0.484135,0.483105,0.484185,0.483015,0
turbo,LABUBUUSD-OTC,1788319380,0.483135,0.483375,0.483375,0.482805,0
turbo,LABUBUUSD-OTC,1788319440,0.483385,0.482925,0.483795,0.482805,0
